chainName,fig1,fig2,corr,p_values
cosmos,priceChangePercentage1Y,Coinbase #05-amountValue,0.540847144,6.73E-186
cosmos,priceChangePercentage1Y,Interchain Foundation #01-amountValue,-0.524486373,5.72E-173
cosmos,priceChangePercentage24H,capChange24h,0.990549987,0
cosmos,priceChangePercentage24H,capChangeRatio24H,0.994736238,0
cosmos,priceChangePercentage24H,change24h,0.995741212,0
cosmos,priceChangePercentage24H,changeRatio24H,1,0
cosmos,priceChangePercentage30D,cap,0.734702506,0
cosmos,priceChangePercentage30D,high24h,0.708208093,0
cosmos,priceChangePercentage30D,low24h,0.717405211,0
cosmos,priceChangePercentage30D,price,0.734737056,0
cosmos,priceChangePercentage30D,priceChangePercentage14d,0.683004887,0
cosmos,priceChangePercentage30D,blockTime,0.685517303,0
cosmos,priceChangePercentage30D,inflation,-0.644828664,1.36E-287
cosmos,priceChangePercentage30D,capBTC,0.589443394,7.95E-229
cosmos,priceChangePercentage30D,priceBTC,0.589460367,7.66E-229
cosmos,priceChangePercentage30D,Bithumb #02 (Withdraw)-amountValue,-0.616185464,9.78E-256
cosmos,priceChangePercentage30D,Bithumb #05-amountValue,0.56749357,1.51E-208
cosmos,priceChangePercentage30D,Coinbase #03-amountValue,-0.550457596,7.84E-194
cosmos,priceChangePercentage30D,DokiaCapital #01 (Validator)-amountValue,-0.633415128,1.70E-274
cosmos,priceChangePercentage30D,DokiaCapital #02 (Validator)-amountValue,0.51859483,1.75E-168
cosmos,priceChangePercentage30D,fee_collector-amountValue,0.757986737,0
cosmos,priceChangePercentage30D,Bithumb #02 (Withdraw)-boxplot,-0.640640665,1.01E-282
cosmos,priceChangePercentage30D,Bithumb #03-boxplot,-0.522993463,7.99E-172
cosmos,priceChangePercentage30D,Coinbase #01-boxplot,-0.646546285,1.30E-289
cosmos,priceChangePercentage30D,Coinbase #08-boxplot,-0.546349457,2.08E-190
cosmos,priceChangePercentage30D,DokiaCapital #01 (Validator)-boxplot,-0.670569422,2.68614e-319
cosmos,priceChangePercentage7d,priceChangePercentage14d,0.598968187,4.04E-238
cosmos,totalVolume,high24h,0.520941807,2.93E-170
cosmos,totalVolume,totalVolumeBTC,0.958343012,0
cosmos,apr,bondedTokens,-0.649705116,2.31E-293
cosmos,apr,communityTokens,-0.55564625,3.18E-198
cosmos,apr,Coinbase #03-amountValue,0.709205842,0
cosmos,apr,HitBTC #02-amountValue,-0.561163186,5.58E-203
cosmos,apr,Interchain Foundation #01-amountValue,0.584544207,3.64E-224
cosmos,apr,Interchain Foundation #02-amountValue,0.574245883,1.27E-214
cosmos,apr,Coinbase #01-boxplot,0.563187772,9.52E-205
cosmos,apr,Coinbase #03-boxplot,0.563540228,4.67E-205
cosmos,apr,Interchain Foundation #01-boxplot,0.579541124,1.74E-219
cosmos,blockTime,cap,0.509551854,9.06E-162
cosmos,blockTime,price,0.509826026,5.71E-162
cosmos,blockTime,priceChangePercentage30D,0.685517303,0
cosmos,blockTime,inflation,-0.555713551,2.79E-198
cosmos,blockTime,Bithumb #02 (Withdraw)-amountValue,-0.574951845,2.88E-215
cosmos,blockTime,Bithumb #05-amountValue,0.61876324,1.81E-258
cosmos,blockTime,DokiaCapital #01 (Validator)-amountValue,-0.56726726,2.39E-208
cosmos,blockTime,DokiaCapital #02 (Validator)-amountValue,0.516100598,1.30E-166
cosmos,blockTime,fee_collector-amountValue,0.50187382,3.17E-156
cosmos,blockTime,Bithumb #02 (Withdraw)-boxplot,-0.520947978,2.90E-170
cosmos,blockTime,DokiaCapital #01 (Validator)-boxplot,-0.534666717,6.26E-181
cosmos,bondedTokens,cap,-0.552837886,7.75E-196
cosmos,bondedTokens,high24h,-0.579949507,7.25E-220
cosmos,bondedTokens,low24h,-0.534906118,4.03E-181
cosmos,bondedTokens,price,-0.55220093,2.68E-195
cosmos,bondedTokens,apr,-0.649705116,2.31E-293
cosmos,bondedTokens,communityTokens,0.895750903,0
cosmos,bondedTokens,inflation,0.544641021,5.33E-189
cosmos,bondedTokens,capBTC,-0.782509022,0
cosmos,bondedTokens,priceBTC,-0.782412738,0
cosmos,bondedTokens,Digfinex #01 (Deposit)-amountValue,0.7977636,0
cosmos,bondedTokens,DokiaCapital #01 (Validator)-amountValue,0.627461712,7.03E-268
cosmos,bondedTokens,DokiaCapital #02 (Validator)-amountValue,-0.65876692,2.27E-304
cosmos,bondedTokens,HitBTC #02-amountValue,0.707171263,0
cosmos,bondedTokens,Ignite-amountValue,-0.779127176,0
cosmos,bondedTokens,Interchain Foundation #01-amountValue,-0.734699189,0
cosmos,bondedTokens,Interchain Foundation #02-amountValue,-0.885529664,0
cosmos,bondedTokens,MEXC #01 (Deposit)-amountValue,0.696029337,0
cosmos,bondedTokens,OKK #01-amountValue,0.561660602,2.06E-203
cosmos,bondedTokens,Upbit #10 (Validator)-amountValue,-0.574597505,6.07E-215
cosmos,bondedTokens,Binance #04 (Staking)-boxplot,0.603273123,2.01E-242
cosmos,bondedTokens,Bitforex #01 (Deposit)-boxplot,-0.526759951,1.01E-174
cosmos,bondedTokens,Bithumb #03-boxplot,0.583452747,3.88E-223
cosmos,bondedTokens,Coinbase #08-boxplot,0.619327911,4.53E-259
cosmos,bondedTokens,HitBTC #02-boxplot,0.541566102,1.75E-186
cosmos,bondedTokens,Interchain Foundation #01-boxplot,-0.698696921,0
cosmos,bondedTokens,MEXC #01 (Deposit)-boxplot,0.529437849,8.31E-177
cosmos,bondedTokens,OKK #01-boxplot,0.671305282,2.989e-320
cosmos,bondedTokens,Upbit #12 (Staking)-boxplot,-0.516091804,1.32E-166
cosmos,bondedTokens,Upbit #15 (Staking)-boxplot,-0.516944587,3.04E-167
cosmos,bondedTokens,Upbit #16 (Staking)-boxplot,-0.503658599,1.68E-157
cosmos,bondedTokens,Upbit #17 (Staking)-boxplot,-0.514588785,1.75E-165
cosmos,bondedTokens,Upbit #18 (Staking)-boxplot,-0.519274567,5.37E-169
cosmos,bondedTokens,Upbit #20 (Staking)-boxplot,-0.524738675,3.66E-173
cosmos,bondedTokens,bonded_tokens_pool-boxplot,0.70816943,0
cosmos,bondedTokens,distribution-boxplot,0.628247318,9.60E-269
cosmos,communityTokens,apr,-0.55564625,3.18E-198
cosmos,communityTokens,bondedTokens,0.895750903,0
cosmos,communityTokens,inflation,0.514811172,1.19E-165
cosmos,communityTokens,capBTC,-0.700134126,0
cosmos,communityTokens,priceBTC,-0.70014836,0
cosmos,communityTokens,Digfinex #01 (Deposit)-amountValue,0.708107409,0
cosmos,communityTokens,DokiaCapital #01 (Validator)-amountValue,0.574785538,4.09E-215
cosmos,communityTokens,DokiaCapital #02 (Validator)-amountValue,-0.616531082,4.22E-256
cosmos,communityTokens,HitBTC #02-amountValue,0.744063836,0
cosmos,communityTokens,Ignite-amountValue,-0.7268267,0
cosmos,communityTokens,Interchain Foundation #01-amountValue,-0.755762605,0
cosmos,communityTokens,Interchain Foundation #02-amountValue,-0.806803878,0
cosmos,communityTokens,MEXC #01 (Deposit)-amountValue,0.603777551,6.23E-243
cosmos,communityTokens,OKK #01-amountValue,0.51574511,2.40E-166
cosmos,communityTokens,Upbit #10 (Validator)-amountValue,-0.515617888,2.99E-166
cosmos,communityTokens,Binance #04 (Staking)-boxplot,0.545646705,7.91E-190
cosmos,communityTokens,Bitforex #01 (Deposit)-boxplot,-0.557788541,4.64E-200
cosmos,communityTokens,Coinbase #08-boxplot,0.557658628,6.00E-200
cosmos,communityTokens,HitBTC #02-boxplot,0.559709414,1.02E-201
cosmos,communityTokens,Interchain Foundation #01-boxplot,-0.708186995,0
cosmos,communityTokens,OKK #01-boxplot,0.606990904,3.41E-246
cosmos,communityTokens,Upbit #15 (Staking)-boxplot,-0.502594154,9.71E-157
cosmos,communityTokens,Upbit #16 (Staking)-boxplot,-0.506012451,3.39E-159
cosmos,communityTokens,Upbit #18 (Staking)-boxplot,-0.509258226,1.49E-161
cosmos,communityTokens,Upbit #20 (Staking)-boxplot,-0.521853169,5.93E-171
cosmos,communityTokens,bonded_tokens_pool-boxplot,0.658121269,1.42E-303
cosmos,communityTokens,distribution-boxplot,0.643025256,1.74E-285
cosmos,inflation,cap,-0.689213281,0
cosmos,inflation,high24h,-0.692682246,0
cosmos,inflation,low24h,-0.688239764,0
cosmos,inflation,price,-0.688722616,0
cosmos,inflation,priceChangePercentage30D,-0.644828664,1.36E-287
cosmos,inflation,blockTime,-0.555713551,2.79E-198
cosmos,inflation,bondedTokens,0.544641021,5.33E-189
cosmos,inflation,communityTokens,0.514811172,1.19E-165
cosmos,inflation,capBTC,-0.773284792,0
cosmos,inflation,priceBTC,-0.773294758,0
cosmos,inflation,Bithumb #02 (Withdraw)-amountValue,0.61008691,2.26E-249
cosmos,inflation,Digfinex #01 (Deposit)-amountValue,0.636324827,8.80E-278
cosmos,inflation,DokiaCapital #01 (Validator)-amountValue,0.779341484,0
cosmos,inflation,DokiaCapital #02 (Validator)-amountValue,-0.711085099,0
cosmos,inflation,Ignite-amountValue,-0.666977192,1.108552783e-314
cosmos,inflation,MEXC #01 (Deposit)-amountValue,0.68652405,0
cosmos,inflation,fee_collector-amountValue,-0.621306954,3.44E-261
cosmos,inflation,Bithumb #02 (Withdraw)-boxplot,0.627815882,2.87E-268
cosmos,inflation,Bithumb #03-boxplot,0.597956671,4.06E-237
cosmos,inflation,Coinbase #08-boxplot,0.631501839,2.36E-272
cosmos,inflation,Digfinex #01 (Deposit)-boxplot,0.537835389,1.83E-183
cosmos,inflation,MEXC #01 (Deposit)-boxplot,0.580153249,4.69E-220
cosmos,inflation,distribution-boxplot,0.585450726,5.07E-225
juno,capBTC,apr,0.91838282,0
osmosis,capBTC,inflation,0.917893412,0
osmosis,priceBTC,high24h,0.913548478,0
osmosis,price,priceBTC,0.909203189,0
osmosis,priceBTC,price,0.909203189,0
osmosis,capBTC,high24h,0.906782239,0
osmosis,priceBTC,low24h,0.903436081,0
osmosis,price,capBTC,0.903133734,0
osmosis,capBTC,price,0.903133734,0
osmosis,capBTC,low24h,0.897636846,0
juno,price,apr,0.897127668,0
kava,priceBTC,priceChangePercentage1Y,0.888914955,0
cosmos,capBTC,Ignite-amountValue,0.886508895,0
cosmos,priceBTC,Ignite-amountValue,0.886388391,0
juno,cap,apr,0.883315462,0
osmosis,price,inflation,0.868537308,0
kava,capBTC,priceChangePercentage1Y,0.863859512,0
cosmos,priceBTC,high24h,0.855744828,0
cosmos,capBTC,high24h,0.855706431,0
osmosis,cap,priceBTC,0.855266182,0
osmosis,priceBTC,cap,0.855266182,0
osmosis,cap,capBTC,0.853874463,0
osmosis,capBTC,cap,0.853874463,0
cosmos,cap,priceBTC,0.851387078,0
cosmos,priceBTC,cap,0.851387078,0
cosmos,cap,capBTC,0.851330258,0
cosmos,capBTC,cap,0.851330258,0
cosmos,price,priceBTC,0.851167674,0
cosmos,priceBTC,price,0.851167674,0
cosmos,price,capBTC,0.850979028,0
cosmos,capBTC,price,0.850979028,0
cosmos,priceBTC,DokiaCapital #02 (Validator)-amountValue,0.849367897,0
cosmos,capBTC,DokiaCapital #02 (Validator)-amountValue,0.849344966,0
cosmos,priceBTC,low24h,0.838654775,0
cosmos,capBTC,low24h,0.838561622,0
juno,cap,priceChangePercentage30D,0.829795539,0
osmosis,price,apr,0.826207106,0
juno,price,priceChangePercentage30D,0.819270611,0
osmosis,price,priceChangePercentage30D,0.804649213,0
kava,price,priceChangePercentage1Y,0.798990695,0
osmosis,cap,priceChangePercentage30D,0.795704651,0
osmosis,cap,apr,0.788844208,0
osmosis,cap,inflation,0.786859849,0
kava,capBTC,totalVolumeBTC,0.778339965,0
juno,priceBTC,totalVolumeBTC,0.769219309,0
kava,price,priceChangePercentage14d,0.767922505,0
juno,capBTC,totalVolumeBTC,0.767072988,0
kava,price,capBTC,0.766566447,0
kava,capBTC,price,0.766566447,0
cosmos,cap,DokiaCapital #02 (Validator)-amountValue,0.74997541,0
cosmos,price,DokiaCapital #02 (Validator)-amountValue,0.749647192,0
kava,price,priceBTC,0.748369609,0
kava,priceBTC,price,0.748369609,0
kava,capBTC,high24h,0.745221093,0
juno,price,totalVolumeBTC,0.739944064,0
kava,capBTC,totalVolume,0.736733726,0
cosmos,price,priceChangePercentage30D,0.734737056,0
cosmos,cap,priceChangePercentage30D,0.734702506,0
kava,priceBTC,high24h,0.730220202,0
juno,cap,totalVolumeBTC,0.730152785,0
kava,cap,priceChangePercentage7d,0.72973425,0
juno,priceBTC,priceChangePercentage30D,0.724571015,0
juno,capBTC,priceChangePercentage30D,0.724147715,0
osmosis,priceBTC,apr,0.722100926,0
juno,priceBTC,communityTokens,0.720021073,0
juno,capBTC,communityTokens,0.714050751,0
juno,price,totalVolume,0.705534474,0
juno,priceBTC,totalVolume,0.703083983,0
juno,capBTC,totalVolume,0.700519187,0
juno,cap,totalVolume,0.699260364,0
osmosis,capBTC,apr,0.699158944,0
cosmos,capBTC,Interchain Foundation #02-amountValue,0.698061053,0
cosmos,priceBTC,Interchain Foundation #02-amountValue,0.697986127,0
kava,priceBTC,low24h,0.688622951,0
cosmos,priceChangePercentage1HBTC,priceChangePercentage1H,0.693147798,0
cosmos,totalVolumeBTC,cap,0.551235891,1.74E-194
cosmos,totalVolumeBTC,high24h,0.600130132,2.83E-239
cosmos,totalVolumeBTC,price,0.550432273,8.24E-194
cosmos,totalVolumeBTC,totalVolume,0.958343012,0
cosmos,totalVolumeBTC,capBTC,0.563654994,3.71E-205
cosmos,totalVolumeBTC,priceBTC,0.563553521,4.55E-205
cosmos,Binance #02 (Deposit)-amountValue,Coinbase #01-amountValue,0.584377516,5.23E-224
cosmos,Binance #02 (Deposit)-amountValue,Binance #02 (Deposit)-boxplot,0.664113833,4.7622227031925e-311
cosmos,Binance #03 (Withdraw)-amountValue,Binance #03 (Withdraw)-boxplot,0.883547289,0
kava,bonded_tokens_pool-amountValue,distribution-amountValue,0.981390788,0
kava,distribution-amountValue,bonded_tokens_pool-amountValue,0.981390788,0
juno,bonded_tokens_pool-amountValue,distribution-amountValue,0.979394981,0
juno,distribution-amountValue,bonded_tokens_pool-amountValue,0.979394981,0
cosmos,distribution-amountValue,Coinbase #08-amountValue,0.979242812,0
cosmos,bonded_tokens_pool-amountValue,distribution-amountValue,0.977475003,0
cosmos,distribution-amountValue,bonded_tokens_pool-amountValue,0.977475003,0
juno,distribution-amountValue,JUNO NETA Pool-amountValue,0.97614704,0
cosmos,bonded_tokens_pool-amountValue,Coinbase #08-amountValue,0.973038574,0
cosmos,Kraken #01-boxplot,Upbit #14 (Staking)-boxplot,0.971945979,0
juno,bonded_tokens_pool-amountValue,JUNO OSMO Pool-amountValue,0.966870938,0
cosmos,Interchain Foundation #02-boxplot,Ignite-boxplot,0.966466402,0
osmosis,bonded_tokens_pool-amountValue,distribution-amountValue,0.965218009,0
osmosis,distribution-amountValue,bonded_tokens_pool-amountValue,0.965218009,0
cosmos,Interchain Foundation #01-amountValue,Interchain Foundation #01-boxplot,0.964702629,0
cosmos,Interchain Foundation #01-boxplot,Interchain Foundation #01-amountValue,0.964702629,0
juno,bonded_tokens_pool-amountValue,JUNO NETA Pool-amountValue,0.964403595,0
cosmos,Kraken #01-boxplot,Upbit #13 (Staking)-boxplot,0.95975113,0
cosmos,Kraken #01-boxplot,Upbit #16 (Staking)-boxplot,0.957179075,0
cosmos,Kraken #01-boxplot,Upbit #19 (Staking)-boxplot,0.955246209,0
cosmos,Kraken #01-boxplot,Upbit #17 (Staking)-boxplot,0.954482981,0
cosmos,Kraken #01-boxplot,Upbit #12 (Staking)-boxplot,0.953634959,0
cosmos,Kraken #01-boxplot,Upbit #11 (Staking)-boxplot,0.953247131,0
juno,bonded_tokens_pool-amountValue,JUNO ATOM Pool-amountValue,0.95286592,0
cosmos,Kraken #01-boxplot,Upbit #15 (Staking)-boxplot,0.952788299,0
cosmos,Binance #04 (Staking)-amountValue,bonded_tokens_pool-amountValue,0.952723207,0
cosmos,bonded_tokens_pool-amountValue,Binance #04 (Staking)-amountValue,0.952723207,0
cosmos,Binance #04 (Staking)-amountValue,Coinbase #08-amountValue,0.952124317,0
cosmos,Kraken #01-boxplot,Upbit #18 (Staking)-boxplot,0.949478728,0
cosmos,Kraken #01-boxplot,Upbit #20 (Staking)-boxplot,0.942150768,0
cosmos,Bitforex #01 (Deposit)-amountValue,Binance #04 (Staking)-amountValue,0.755117382,0
cosmos,Bitforex #01 (Deposit)-amountValue,Bithumb #02 (Withdraw)-amountValue,0.521921579,5.26E-171
cosmos,Bitforex #01 (Deposit)-amountValue,Bithumb #03-amountValue,0.833742904,0
cosmos,Bitforex #01 (Deposit)-amountValue,Coinbase #08-amountValue,0.777099177,0
cosmos,Bitforex #01 (Deposit)-amountValue,Kraken #01-amountValue,0.780294438,0
cosmos,Bitforex #01 (Deposit)-amountValue,OKK #01-amountValue,0.678927677,0
cosmos,Bitforex #01 (Deposit)-amountValue,Upbit #11 (Staking)-amountValue,0.972830944,0
cosmos,Bitforex #01 (Deposit)-amountValue,Upbit #13 (Staking)-amountValue,0.969436395,0
cosmos,Bitforex #01 (Deposit)-amountValue,Upbit #16 (Staking)-amountValue,0.970857716,0
cosmos,Bitforex #01 (Deposit)-amountValue,Upbit #19 (Staking)-amountValue,0.971020637,0
cosmos,Bitforex #01 (Deposit)-amountValue,bonded_tokens_pool-amountValue,0.784031003,0
cosmos,Bitforex #01 (Deposit)-amountValue,distribution-amountValue,0.781997631,0
cosmos,Bitforex #01 (Deposit)-amountValue,Binance #02 (Deposit)-boxplot,0.556577559,5.08E-199
cosmos,Bitforex #01 (Deposit)-amountValue,Binance #03 (Withdraw)-boxplot,0.557352154,1.10E-199
cosmos,Bitforex #01 (Deposit)-amountValue,Binance #04 (Staking)-boxplot,0.534410558,1.00E-180
cosmos,Bitforex #01 (Deposit)-amountValue,Bitforex #01 (Deposit)-boxplot,0.794645339,0
cosmos,Bitforex #01 (Deposit)-amountValue,Coinbase #01-boxplot,0.514922527,9.86E-166
cosmos,Bitforex #01 (Deposit)-amountValue,Coinbase #03-boxplot,0.677655561,0
cosmos,Bitforex #01 (Deposit)-amountValue,Coinbase #05-boxplot,0.601702983,7.59E-241
cosmos,Bitforex #01 (Deposit)-amountValue,Coinbase #06-boxplot,0.573576269,5.15E-214
cosmos,Bitforex #01 (Deposit)-amountValue,Coinone #01(Deposit)-boxplot,0.633319038,2.18E-274
cosmos,Bitforex #01 (Deposit)-amountValue,Digfinex #01 (Deposit)-boxplot,0.551056655,2.46E-194
cosmos,Bitforex #01 (Deposit)-amountValue,DokiaCapital #01 (Validator)-boxplot,0.648073326,2.02E-291
cosmos,Bitforex #01 (Deposit)-amountValue,DokiaCapital #02 (Validator)-boxplot,0.767145774,0
cosmos,Bitforex #01 (Deposit)-amountValue,HitBTC #02-boxplot,0.502757419,7.42E-157
cosmos,Bitforex #01 (Deposit)-amountValue,Ignite-boxplot,0.905440234,0
cosmos,Bitforex #01 (Deposit)-amountValue,Interchain Foundation #01-boxplot,0.6111687,1.72E-250
cosmos,Bitforex #01 (Deposit)-amountValue,Interchain Foundation #02-boxplot,0.903555779,0
cosmos,Bitforex #01 (Deposit)-amountValue,Kraken #01-boxplot,0.769853174,0
cosmos,Bitforex #01 (Deposit)-amountValue,MEXC #01 (Deposit)-boxplot,0.511181651,5.78E-163
cosmos,Bitforex #01 (Deposit)-amountValue,OKK #01-boxplot,0.50802774,1.17E-160
cosmos,Bitforex #01 (Deposit)-amountValue,Upbit #01 (Deposit)-boxplot,0.646004447,5.64E-289
cosmos,Bitforex #01 (Deposit)-amountValue,Upbit #02 (Withdraw)-boxplot,0.527410024,3.16E-175
cosmos,Bitforex #01 (Deposit)-amountValue,Upbit #10 (Validator)-boxplot,0.729946203,0
cosmos,Bitforex #01 (Deposit)-amountValue,Upbit #11 (Staking)-boxplot,0.797476669,0
cosmos,Bitforex #01 (Deposit)-amountValue,Upbit #12 (Staking)-boxplot,0.774647728,0
cosmos,Bitforex #01 (Deposit)-amountValue,Upbit #13 (Staking)-boxplot,0.782736463,0
cosmos,Bitforex #01 (Deposit)-amountValue,Upbit #14 (Staking)-boxplot,0.784517506,0
cosmos,Bitforex #01 (Deposit)-amountValue,Upbit #15 (Staking)-boxplot,0.772314805,0
cosmos,Bitforex #01 (Deposit)-amountValue,Upbit #16 (Staking)-boxplot,0.781701547,0
cosmos,Bitforex #01 (Deposit)-amountValue,Upbit #17 (Staking)-boxplot,0.775641408,0
cosmos,Bitforex #01 (Deposit)-amountValue,Upbit #18 (Staking)-boxplot,0.773595136,0
cosmos,Bitforex #01 (Deposit)-amountValue,Upbit #19 (Staking)-boxplot,0.789342388,0
cosmos,Bitforex #01 (Deposit)-amountValue,Upbit #20 (Staking)-boxplot,0.777236637,0
cosmos,Bitforex #01 (Deposit)-amountValue,not_bonded_tokens_pool-boxplot,0.563273694,8.01E-205
cosmos,Bithumb #02 (Withdraw)-amountValue,priceChangePercentage30D,-0.616185464,9.78E-256
cosmos,Bithumb #02 (Withdraw)-amountValue,blockTime,-0.574951845,2.88E-215
cosmos,Bithumb #02 (Withdraw)-amountValue,inflation,0.61008691,2.26E-249
cosmos,Bithumb #02 (Withdraw)-amountValue,capBTC,-0.511831053,1.92E-163
cosmos,Bithumb #02 (Withdraw)-amountValue,priceBTC,-0.511861058,1.83E-163
cosmos,Bithumb #02 (Withdraw)-amountValue,Binance #04 (Staking)-amountValue,0.687576018,0
